geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Kyrgyz Republic/,6524195,32.96558916,71.4,27.3,0.36,0.000000,223,75,41,533,,3,0.71886,0.09350,0.00307,0.00077,0.00077,0.00077,0.00077,0.00077,4.494727976,1281.363661,0.574531,11.21,14.24027696,8.3,1.646395339,0.002505193663
Laos/,7275560,32,67.28,24,0.36,,20,105,18,,,2.7,0.00069,0.01237,0.00687,0.00069,0.56353,0.00069,0.26252,0.00687,4.075149964,2542.486528,0.41110246,11.8,69.69277779,11,0.294364883,0.001398221294
Latvia/,1886198,30.99347057,74.78292683,44.4,0.69,0.004284,381,25,57,641,32,1.7,0.00265,0.66801,0.52487,0.00265,0.00265,0.00265,0.00265,0.00265,,,,,,,,
Lebanon/,6825445,669.4941349,78875,33.7,0.78,,117,35.8333,33.8333,661,37,2.1,0.37946,0.23735,0.00147,0.00073,0.00073,0.00073,0.00073,0.00073,7.002368134,8269.787676,2.200755247,19.08,13.90359598,8.23,3.843598231,0.003771182685
Lesotho/,2142249,69.43781291,53705,24.7,0.31,,4,28.5,-29.5,788,22,3.2,0.00233,0.98028,0.03268,0.00233,0.00233,0.00233,0.00233,0.00233,4.901087497,1299.153126,0.522848771,7.35,120.1029033,6.83,1.207715726,0
Liberia/,5057681,50.03090739,63.73,18,0.53,,14,-9.5,6.5,2391,21,4.4,0.09491,0.67818,0.01186,0.00099,0.00099,0.00099,0.00395,0.00099,,,,,,,,
Libya/,6871292,3.795632381,72724,25.8,0.78,0.000600,483,,,56,,2.3,0.89357,0.02474,0.00146,0.00073,0.00291,0.00073,0.00073,0.00073,,,,,,,,
Lithuania/,2722289,44.72307577,75.6804878,44.5,0.71,0.004517,463,24,56,656,34,1.7,0.00184,1.09467,0.12122,0.00184,0.00184,0.00184,0.00184,0.00184,,,,,,,,
Luxembourg/,625978,250.1851852,82.29512195,39.5,0.88,0.019267,670,6.1667,49.75,934,43,1.5,0.01598,0.57510,0.22365,0.00799,0.00799,0.00799,0.00799,0.00799,14.18315418,116639888,2.563117583,15.19,13.35703721,3.79,17.36212137,0.082788852
Macao/,649335,20777.50026,76.22,40.8,,0.000000,172,113.55,22.1667,0,0,1.2,0.00770,0.06160,0.12320,0.00770,0.13860,0.00770,0.49281,0.00770,10.48420293,87208.53591,,,,,2.174572354,0.03759384601
Madagascar/,27691018,45.13985562,66681,20.3,0.39,0.000058,27,47,-20,1513,35,4.1,0.02239,0.63847,0.05200,0.00036,0.00018,0.00018,0.03395,0.00072,2.986717126,527.501285,0.414500993,3.15,117.1435165,10.13,0.130420845,0.0003672671044
Malawi/,19129952,192.4407616,63798,16.8,0.18,0.000036,8,34,-13.5,1181,,4.3,0.10089,0.64402,0.01934,0.00026,0.00026,0.00026,0.01359,0.00026,2.64543493,389.3980332,0.468143301,2.96,91.62136892,6.78,0.078339597,0.0001216417062
Malaysia/,32365999,95.96282149,75997,29.2,0.78,0.000824,433,112.5,2.5,2875,19,2,0.55923,0.08249,0.00587,0.05314,0.15479,0.00015,0.02008,0.00185,6.671754625,11373233,0.783179443,14.32,112.9098132,6.87,8.130210313,0.01472943875
Mali/,20250833,15.63501586,58.45,16,0.44,,12,-4,17,282,,5.9,0.71651,0.01827,0.00346,0.00025,0.00025,0.00025,0.02025,0.00025,2.507229758,899.6599081,0.393821527,1.4,60.93683904,6.19,0.083369355,0
Mauritania/,4649658,4.272163578,64704,21,0.57,0.000411,10,-12,20,92,22,4.6,0.73769,0.00108,0.00108,0.00108,0.00108,0.00108,0.00430,0.00108,3.141112158,1188.834588,0.483407624,2.63,83.33593901,8.27,0.689388119,0.001212312706
Mauritius/,1271768,623.3019704,74.41634146,36.3,0.41,,192,57.55,-20.2833,2041,38,1.4,0.17299,0.33025,0.00393,0.49537,0.00393,0.00393,0.00393,0.00393,11.47417307,11238.69039,0.772651479,10.9,22.7451741,7.31,3.353110472,0.01174742563
Mexico/,128932753,64.91462641,74992,29.3,0.84,0.000168,297,-102,23,758,13,2.1,0.00004,0.83695,0.04134,0.00004,0.00004,0.00054,0.00054,0.00016,7.223684981,9673.443674,0.894715491,7.25,19.82003555,6.76,3.990446149,0.004581667468
Moldova/,4033963,94.26443028,71808,37.7,0.43,,201,29,47,450,20,1.3,0.00496,0.86268,0.01239,0.00124,0.00124,0.00496,0.00124,0.00124,,,,,,,,
Monaco/,39242,26337,85.8,55.4,,,899,7.4,43.7333,,,,0.12741,0.76449,0.12741,0.12741,0.12741,0.12741,0.12741,0.12741,,,,,,,,
Mongolia/,3278290,2.040608667,69689,29.8,0.67,,71,105,46,241,15,2.9,0.02745,0.01830,0.30199,0.00153,0.46366,0.00153,0.03050,0.00153,4.083538787,4121.732435,0.631546393,13.83,21.81236685,7.84,7.088025678,0.00237227335
Morocco/,36910560,80.72851893,76453,29.1,0.64,0.000651,103,-5,32,346,25,2.4,0.86506,0.00054,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,7.012904821,3222.200634,0.62808944,8.33,21.61185389,8.92,1.750794556,0.002171573663
Mozambique/,31255435,37.50853531,60163,17,0.38,0.000066,14,35,-18.25,1032,19,4.9,0.13438,0.42425,0.13438,0.00016,0.00016,0.00016,0.05503,0.00016,2.890764457,498.9572202,0.457598238,3.82,95.97107882,5.64,0.320578017,0.0003352696899
Myanmar/,54409800,82.23861548,66867,29.2,0.31,0.000487,20,98,22,2091,24,2.2,0.03492,0.06892,0.00441,0.01507,0.70594,0.00009,0.05073,0.00147,5.784641933,1325.952924,0.586053381,16.61,59.3317367,11.07,0.41375859,0.001183572895
Namibia/,2540905,2.973745582,63373,21.8,0.55,0.000705,106,17,-22,285,,3.4,0.00197,0.87764,0.01574,0.00197,0.00197,0.00197,0.00197,0.00197,3.636031681,5931.453886,0.543290319,6.76,74.07970846,6.06,1.651692817,0.005723551254
Nepal/,29136808,195.9391071,70478,25.3,0.21,0.000558,5,84,28,1500,28,1.9,0.04702,0.00480,0.00275,0.82953,0.10571,0.00017,0.03775,0.00069,,,,,,,,
