geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Tunisia/,11818619,74.44132338,76505,32.7,0.7,0.000347,129,9,34,207,16,2.2,0.88251,0.00169,0.00169,0.00042,0.00042,0.00042,0.00042,0.00042,8.315679079,3447.50791,0.731108244,16.2,16.03659247,8.68,2.605932406,0.003506839505
Turkey/,84339067,106.9601289,77437,32.2,0.76,0.002372,358,35,39,593,26.5,2.1,0.84575,0.00379,0.01020,0.00006,0.00047,0.00024,0.00024,0.00178,8.48321294,9370.176344,0.95246871,19.16,13.36273825,9.94,4.479773496,0.009164501962
Turkmenistan/,6031200,12.45059477,68073,29.2,0.53,,107,60,40,161,,2.8,0.77762,0.05306,0.00497,0.00083,0.00083,0.00083,0.00083,0.00083,,,,,,,,
Uganda/,45741007,213.0617345,62973,15.7,0.26,0.000121,12,32,1,1180,28,5,0.08395,0.63357,0.00372,0.00219,0.00011,0.00011,0.00634,0.00087,1.94098692,642.7767443,0.52120401,2.39,78.81358709,5.85,0.141664527,0.0001056382515
Ukraine/,43733762,77.0296708,71.58268293,41.2,0.69,0.001139,219,32,49,565,37,1.4,0.01280,0.87118,0.15297,0.00023,0.00046,0.00114,0.00011,0.00011,16.43468644,3095.173581,1.602203378,16.97,15.16317002,7.27,5.020747064,0.001525411877
United Arab Emirates/,9890402,135.6091101,77814,38.4,0.86,0.014785,234,54,24,78,32,1.4,0.58440,0.09504,0.00910,0.04954,0.01517,0.00051,0.00051,0.00607,,,0.930793187,9.51,45.83255643,7.85,,
United Kingdom/,67886011,274.7089819,81.25609756,40.6,0.83,0.004845,471,-2,54,1220,28,1.8,0.04360,0.58760,0.25366,0.01311,0.00412,0.00427,0.00088,0.00678,,,2.791155517,15.27,24.11005138,4.08,,
United Kingdom/England,55980000,432,79.8,40.6,0.83,0.004845,471,-2,54,1220,28,1.8,0.04360,0.58760,0.25366,0.01311,0.00412,0.00427,0.00088,0.00678,,,2.791155517,15.27,24.11005138,4.08,,
United Kingdom/Northern Ireland,1882000,137,78.8,40.6,0.83,0.004845,471,-2,54,1220,28,1.8,0.04360,0.58760,0.25366,0.01311,0.00412,0.00427,0.00088,0.00678,,,2.791155517,15.27,24.11005138,4.08,,
United Kingdom/Scotland,5454000,70,77.2,40.6,0.83,0.004845,471,-2,54,1220,28,1.8,0.04360,0.58760,0.25366,0.01311,0.00412,0.00427,0.00088,0.00678,,,2.791155517,15.27,24.11005138,4.08,,
United Kingdom/Wales,3136000,152,78.5,40.6,0.83,0.004845,471,-2,54,1220,28,1.8,0.04360,0.58760,0.25366,0.01311,0.00412,0.00427,0.00088,0.00678,,,2.791155517,15.27,24.11005138,4.08,,
United States Virgin Islands/,,305.6485714,79.6,,,,,,,,,,5000.00000,100000.00000,5000.00000,5000.00000,5000.00000,5000.00000,5000.00000,5000.00000,,,,,,,,
United States/,331002651,35.71362209,78.53902439,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Alabama,4903185,36.9,75.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Alaska,731545,0.5,78.8,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Arizona,7278717,22.5,79.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Arkansas,3017804,22,75.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/California,39512223,95,81.6,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Colorado,5758736,19.6,80.5,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Connecticut,3565287,286.7,80.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Delaware,973764,183.4,78.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Florida,705749,140.8,80,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Georgia,21477737,67.1,77.8,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Hawaii,10617423,84.4,82.3,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Idaho,1415872,7.5,79.3,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Illinois,1787065,89.6,79.3,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Indiana,12671821,70.8,77,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Iowa,6732219,80.8,79.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Kansas,3155070,13.7,78.5,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Kentucky,2913314,43,75.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Louisiana,4467673,41.3,76.1,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Maine,4648794,16.6,78.7,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Maryland,1344212,235.8,79.1,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Massachusetts,6045680,331.3,80.5,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Michigan,6892503,67.6,78,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Minnesota,9986857,26.3,80.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Mississippi,5639632,24.6,74.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Missouri,2976149,33.9,77.3,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Montana,6137428,2.7,78.8,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Nebraska,1068778,24.3,79.6,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Nevada,1934408,9.8,78.5,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/New Hampshire,3080156,57.1,79.5,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/New Jersey,1359711,1210.1,80.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/New Mexico,8882190,17.2,78.1,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/New York,2096829,417,81.3,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/North Carolina,19453561,78.2,78,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/North Dakota,10488084,4,79.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Ohio,762062,109.3,76.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Oklahoma,11689100,21.7,76,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Oregon,3956971,15.8,79.8,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Pennsylvania,4217737,110.2,78.3,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Rhode Island,12801989,392.7,79.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/South Carolina,1059361,61.3,77,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/South Dakota,5148714,4.3,79.1,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Tennessee,884659,60.8,76,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Texas,6829174,39.1,79.1,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Utah,28995881,13.6,79.9,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Vermont,3205958,26.3,79.7,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Virgin Islands,623989,305.9,79.6,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Virginia,8535519,80.8,79.5,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Washington,7614893,40.5,80.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Washington DC,,11570,78,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/West Virginia,1792147,29.8,74.8,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Wisconsin,5822434,40.9,79.4,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
United States/Wyoming,578759,2.3,79,38.5,0.83,0.005495,838,-97,38,715,0,1.8,0.00837,0.73431,0.15402,0.00541,0.01079,0.01719,0.00190,0.00574,15.80765406,62794.58565,5.42440701,14.77,15.88386085,3.76,16.50283724,0.02984758572
Uruguay/,3473730,19.70802765,77.77,35.5,0.96,0.001781,280,-56,-33,1300,25,2,0.00144,0.56136,0.39439,0.00144,0.00144,0.00144,0.00864,0.00144,14.81451953,17277.97011,1.489823658,14.13,24.11213092,3.56,1.984240835,0
Uzbekistan/,33469203,77.47085096,71573,30.1,0.5,,37,64,41,206,,2.4,0.79327,0.01882,0.00657,0.00015,0.00030,0.00030,0.00030,0.00015,4.419137878,1532.371677,0.587011732,10.19,35.11694115,9.67,3.420722746,0.0006427998898
Vanuatu/,307145,24.00984413,70323,23,0.24,,54,167,-16,206,15,3.8,0.01628,0.71627,0.01628,0.01628,0.01628,0.01628,0.01628,0.01628,,,,,,,,
Venezuela/,28435940,32.73079191,72.25,30,,,145,-66,8,2044,,2.3,0.00317,0.91047,0.10198,0.00018,0.00018,0.00018,0.00211,0.00070,7.26698662,16054.49051,1.134870218,9.23,19.74587517,5.33,6.164731034,0.0008786767731
Vietnam/,97338579,308.1252459,75317,31.9,0.38,0.000255,23,106,16,1821,22,2.1,0.00164,0.07366,0.26752,0.00005,0.14773,0.00005,0.40837,0.00360,7.274978298,2566.59695,0.603065672,14.24,22.97805645,8.28,1.819893977,0.002915462738
Yemen/,29825964,53.97785291,,19.8,0.38,,37,48,15,167,37,3.8,0.79897,0.00134,0.00067,0.00503,0.00017,0.00017,0.00017,0.00017,,,,,,,,
Zambia/,18383955,23.3414789,63.51,16.9,0.45,0.000356,23,30,-15,1020,31,4.7,0.00381,0.69463,0.00381,0.00054,0.00027,0.00027,0.00218,0.00653,2.099678026,1539.900158,0.474567911,3.68,93.85563273,6,0.292412222,3.99E-05
Zimbabwe/,14862924,37.32459093,61195,20.5,0.38,0.000137,60,,,657,33,3.6,0.00740,0.73539,0.06661,0.00034,0.00034,0.00067,0.03230,0.00269,2.939523653,2146.996385,0.566520697,7.41,137.6330045,7.67,0.884721294,0.0002317175275
